uf;mrt;mercado;nivel;uso;vti_min;vti_mediano;vti_max;vtn_min;vtn_mediano;vtn_max;inconsistencia_na_fonte
MS;1;Dourados;Primeiro;Agrícola: Grãos Diversos;86118.00;101315.00;116513.00;83606.00;98360.00;113113.00;
MS;2;Três Lagoas;Primeiro;Exploração Mista: Pecuária e Floresta Plantada;23162.00;27249.00;31337.00;20542.00;24167.00;27793.00;
MS;2;Três Lagoas;Primeiro;Floresta Plantada: Silvicultura;23688.00;27868.00;32049.00;23688.00;27868.00;32049.00;
MS;2;Três Lagoas;Primeiro;Pecuária: Pastagem Formada;23503.00;27651.00;31800.00;21658.00;25480.00;29302.00;
MS;2;Três Lagoas;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;20410.00;24012.00;27614.00;19712.00;23191.00;26670.00;
MS;2;Três Lagoas;Segundo;Pecuária: Pastagem Formada de Média Capacidade;24007.00;28243.00;32480.00;22488.00;26456.00;30245.00;
MS;2;Três Lagoas;Segundo;Pecuária: Pastagem Formada de Alta Capacidade;29592.00;34814.00;40036.00;27098.00;31880.00;36662.00;
MS;3;Campo Grande;Primeiro;Agrícola: Grãos Diversos;39957.00;47008.00;54060.00;37300.00;43883.00;50465.00;
MS;3;Campo Grande;Primeiro;Pecuária: Pastagem Formada;31362.00;36896.00;42431.00;41352.00;48650.00;55947.00;VTN mediano maior que VTI mediano
MS;3;Campo Grande;Primeiro;Exploração Mista: Grãos Diversos e Pecuária;34950.00;41118.00;47286.00;33457.00;39362.00;45266.00;
MS;3;Campo Grande;Segundo;Agrícola: Grãos Diversos de Baixa Capacidade;22695.00;26700.00;30705.00;21183.00;24921.00;28695.00;
MS;3;Campo Grande;Segundo;Agrícola: Grãos Diversos de Média Capacidade;43617.00;51314.00;59011.00;41786.00;49160.00;56534.00;
MS;3;Campo Grande;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;107737.00;126750.00;145762.00;103689.00;121987.00;140286.00;
MS;3;Campo Grande;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;26000.00;30589.00;35177.00;22527.00;26503.00;30478.00;
MS;3;Campo Grande;Segundo;Pecuária: Pastagem Formada de Média Capacidade;30567.00;35962.00;41356.00;27455.00;32300.00;37145.00;
MS;3;Campo Grande;Segundo;Pecuária: Pastagem Formada de Alta Capacidade;49175.00;57852.00;66530.00;41798.00;49175.00;56551.00;
MS;4;Coxim;Primeiro;Agrícola: Grãos Diversos;42615.00;50135.00;57656.00;36987.00;43514.00;50042.00;
MS;4;Coxim;Primeiro;Pecuária: Pastagem Formada;17283.00;20333.00;23383.00;15641.00;18400.00;21160.00;
MS;4;Coxim;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;14733.00;17333.00;19933.00;13492.00;15827.00;18254.00;
MS;4;Coxim;Segundo;Pecuária: Pastagem Formada de Média Capacidade;18472.00;21731.00;24990.00;16552.00;19473.00;22394.00;
MS;5;Chapadão do Sul;Primeiro;Agrícola: Grãos Diversos;85083.00;100097.00;115112.00;80357.00;94538.00;108718.00;
MS;5;Chapadão do Sul;Primeiro;Agrícola: Cana-de-açúcar;36315.00;42723.00;49131.00;35480.00;41472.00;48003.00;
MS;5;Chapadão do Sul;Primeiro;Pecuária: Pastagem Formada;26201.00;30825.00;35449.00;24337.00;28632.00;32927.00;
MS;5;Chapadão do Sul;Segundo;Agrícola: Grãos Diversos de Média Capacidade;55836.00;65689.00;75542.00;54337.00;63926.00;73515.00;
MS;5;Chapadão do Sul;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;96584.00;113629.00;130673.00;91995.00;108230.00;124464.00;
MS;5;Chapadão do Sul;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;20035.00;23570.00;27105.00;18769.00;22081.00;25393.00;
MS;5;Chapadão do Sul;Segundo;Pecuária: Pastagem Formada de Média Capacidade;26317.00;30961.00;35605.00;24517.00;28844.00;33170.00;
MS;5;Chapadão do Sul;Segundo;Pecuária: Pastagem Formada de Alta Capacidade;33000.00;37763.00;43428.00;29485.00;34689.00;39892.00;
MS;5;Chapadão do Sul;Terceiro;Agrícola: Grãos Diversos de Alta Capacidade em Chapadão do Sul e Região do Baús;97331.00;114507.00;131683.00;92744.00;109111.00;125477.00;
MS;6;Paranaíba;Primeiro;Pecuária: Pastagem Formada;26116.00;30725.00;35333.00;23419.00;27552.00;31685.00;
MS;6;Paranaíba;Segundo;Pecuária: Pastagem Formada de Média Capacidade;23568.00;27727.00;31886.00;21348.00;25115.00;28882.00;
MS;6;Paranaíba;Segundo;Pecuária: Pastagem Formada de Alta Capacidade;29939.00;35222.00;40506.00;26527.00;31208.00;35890.00;
MS;7;Sidrolândia;Primeiro;Agrícola: Grãos Diversos;56053.00;65945.00;75838.00;55137.00;64867.00;74598.00;
MS;7;Sidrolândia;Primeiro;Pecuária: Pastagem Formada;43381.00;51036.00;58692.41;39806.00;46831.00;53855.00;
MS;7;Sidrolândia;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;67947.00;79937.00;91927.00;61170.00;71965.00;82760.00;
