cod_ibge;uf;municipio;modulo_fiscal_ha
1100015;RO;ALTA FLORESTA D'OESTE;60
1100023;RO;ARIQUEMES;60
1100031;RO;CABIXI;60
1100049;RO;CACOAL;60
1100056;RO;CEREJEIRAS;60
1100064;RO;COLORADO DO OESTE;60
1100072;RO;CORUMBIARA;60
1100080;RO;COSTA MARQUES;60
1100098;RO;ESPIGÃO D'OESTE;60
1100106;RO;GUAJARÁ-MIRIM;60
1100114;RO;JARU;60
1100122;RO;JI-PARANÁ;60
1100130;RO;MACHADINHO D'OESTE;60
1100148;RO;NOVA BRASILÂNDIA D'OESTE;60
1100155;RO;OURO PRETO DO OESTE;60
1100189;RO;PIMENTA BUENO;60
1100205;RO;PORTO VELHO;60
1100254;RO;PRESIDENTE MÉDICI;60
1100262;RO;RIO CRESPO;60
1100288;RO;ROLIM DE MOURA;60
1100296;RO;SANTA LUZIA D'OESTE;60
1100304;RO;VILHENA;60
1100320;RO;SÃO MIGUEL DO GUAPORÉ;60
1100338;RO;NOVA MAMORÉ;60
1100346;RO;ALVORADA D'OESTE;60
1100379;RO;ALTO ALEGRE DO PARECIS;60
1100403;RO;ALTO PARAÍSO;60
1100452;RO;BURITIS;60
1100502;RO;NOVO HORIZONTE DO OESTE;60
1100601;RO;CACAULÂNDIA;60
1100700;RO;CAMPO NOVO DE RONDÔNIA;60
1100809;RO;CANDEIAS DO JAMARI;60
1100908;RO;CASTANHEIRAS;60
1100924;RO;CHUPINGUAIA;60
1100940;RO;CUJUBIM;60
1101005;RO;GOVERNADOR JORGE TEIXEIRA;60
1101104;RO;ITAPUÃ DO OESTE;60
1101203;RO;MINISTRO ANDREAZZA;60
1101302;RO;MIRANTE DA SERRA;60
1101401;RO;MONTE NEGRO;60
1101435;RO;NOVA UNIÃO;60
1101450;RO;PARECIS;60
1101468;RO;PIMENTEIRAS DO OESTE;60
1101476;RO;PRIMAVERA DE RONDÔNIA;60
1101484;RO;SÃO FELIPE D' OESTE;60
1101492;RO;SÃO FRANCISCO DO GUAPORÉ;60
1101500;RO;SERINGUEIRAS;60
1101559;RO;TEIXEIRÓPOLIS;60
1101609;RO;THEOBROMA;60
1101708;RO;URUPÁ;60
1101757;RO;VALE DO ANARI;60
1101807;RO;VALE DO PARAÍSO;60
1200138;AC;BUJARI;70
1200179;AC;CAPIXABA;70
1200401;AC;RIO BRANCO;70
1200807;AC;PORTO ACRE;70
1300300;AM;AUTAZES;80
1300508;AM;BARREIRINHA;80
1300631;AM;BERURI;80
1300680;AM;BOA VISTA DO RAMOS;80
1300839;AM;CAAPIRANGA;80
1301100;AM;CAREIRO;80
1301159;AM;CAREIRO DA VÁRZEA;80
1301852;AM;IRANDUBA;80
1301902;AM;ITACOATIARA;80
1302009;AM;ITAPIRANGA;80
1302504;AM;MANACAPURU;80
1302553;AM;MANAQUIRI;80
1302603;AM;MANAUS;10
1302900;AM;MAUÉS;80
1303007;AM;NHAMUNDÁ;80
1303106;AM;NOVA OLINDA DO NORTE;80
1303403;AM;PARINTINS;80
1303536;AM;PRESIDENTE FIGUEIREDO;80
1303569;AM;RIO PRETO DA EVA;80
1303957;AM;SÃO SEBASTIÃO DO UATUMÃ;80
1304005;AM;SILVES;80
1304302;AM;URUCARÁ;80
1304401;AM;URUCURITUBA;80
1400027;RR;AMAJARI;80
1400050;RR;ALTO ALEGRE;80
1400100;RR;BOA VISTA;80
1400159;RR;BONFIM;80
1400175;RR;CANTÁ;80
1400407;RR;NORMANDIA;80
1400456;RR;PACARAIMA;80
1400704;RR;UIRAMUTÃ;80
1500107;PA;ABAETETUBA;70
1500131;PA;ABEL FIGUEIREDO;70
1500206;PA;ACARÁ;50
1500305;PA;AFUÁ;70
1500347;PA;ÁGUA AZUL DO NORTE;70
1500404;PA;ALENQUER;75
1500503;PA;ALMEIRIM;70
1500602;PA;ALTAMIRA;75
1500701;PA;ANAJÁS;70
1500800;PA;ANANINDEUA;7
1500859;PA;ANAPU;70
1500909;PA;AUGUSTO CORRÊA;55
1500958;PA;AURORA DO PARÁ;55
1501006;PA;AVEIRO;75
1501105;PA;BAGRE;70
1501204;PA;BAIÃO;70
1501253;PA;BANNACH;75
1501303;PA;BARCARENA;70
1501402;PA;BELÉM;5
1501451;PA;BELTERRA;75
1501501;PA;BENEVIDES;7
1501576;PA;BOM JESUS DO TOCANTINS;70
1501600;PA;BONITO;55
1501709;PA;BRAGANÇA;55
1501725;PA;BRASIL NOVO;75
1501758;PA;BREJO GRANDE DO ARAGUAIA;70
1501782;PA;BREU BRANCO;70
1501808;PA;BREVES;70
1501907;PA;BUJARU;55
1501956;PA;CACHOEIRA DO PIRIÁ;75
1502004;PA;CACHOEIRA DO ARARI;65
1502103;PA;CAMETÁ;70
1502152;PA;CANAÃ DOS CARAJÁS;70
1502202;PA;CAPANEMA;55
1502301;PA;CAPITÃO POÇO;55
1502400;PA;CASTANHAL;55
1502509;PA;CHAVES;65
1502608;PA;COLARES;55
1502707;PA;CONCEIÇÃO DO ARAGUAIA;75
1502756;PA;CONCÓRDIA DO PARÁ;55
1502764;PA;CUMARU DO NORTE;75
1502772;PA;CURIONÓPOLIS;70
1502806;PA;CURRALINHO;70
1502855;PA;CURUÁ;75
1502905;PA;CURUÇÁ;55
1502939;PA;DOM ELISEU;55
1502954;PA;ELDORADO DO CARAJÁS;70
1503002;PA;FARO;75
1503044;PA;FLORESTA DO ARAGUAIA;75
1503077;PA;GARRAFÃO DO NORTE;55
1503093;PA;GOIANÉSIA DO PARÁ;55
1503101;PA;GURUPÁ;70
1503200;PA;IGARAPÉ-AÇU;55
1503309;PA;IGARAPÉ-MIRI;70
1503408;PA;INHANGAPI;55
1503457;PA;IPIXUNA DO PARÁ;55
1503507;PA;IRITUIA;55
1503606;PA;ITAITUBA;75
1503705;PA;ITUPIRANGA;70
1503754;PA;JACAREACANGA;75
1503804;PA;JACUNDÁ;70
1503903;PA;JURUTI;75
1504000;PA;LIMOEIRO DO AJURU;70
1504059;PA;MÃE DO RIO;55
1504109;PA;MAGALHÃES BARATA;55
1504208;PA;MARABÁ;70
1504307;PA;MARACANÃ;55
1504406;PA;MARAPANIM;55
1504422;PA;MARITUBA;7
1504455;PA;MEDICILÂNDIA;70
1504505;PA;MELGAÇO;70
1504604;PA;MOCAJUBA;70
1504703;PA;MOJU;70
1504752;PA;MOJUÍ DOS CAMPOS;75
1504802;PA;MONTE ALEGRE;75
1504901;PA;MUANÁ;65
1504950;PA;NOVA ESPERANÇA DO PIRIÁ;75
1504976;PA;NOVA IPIXUNA;70
