uf;municipio;mrt;mercado
MS;Itaporã;1;Dourados
MS;Douradina;1;Dourados
MS;Dourados;1;Dourados
MS;Água Clara;2;Três Lagoas
MS;Brasilândia;2;Três Lagoas
MS;Ribas do Rio Pardo;2;Três Lagoas
MS;Santa Rita do Pardo;2;Três Lagoas
MS;Três Lagoas;2;Três Lagoas
MS;Bandeirantes;3;Campo Grande
MS;Campo Grande;3;Campo Grande
MS;Corguinho;3;Campo Grande
MS;Dois Irmãos do Buriti;3;Campo Grande
MS;Jaraguari;3;Campo Grande
MS;Rio Negro;3;Campo Grande
MS;Rochedo;3;Campo Grande
MS;São Gabriel do Oeste;3;Campo Grande
MS;Terenos;3;Campo Grande
MS;Alcinópolis;4;Coxim
MS;Camapuã;4;Coxim
MS;Coxim;4;Coxim
MS;Figueirão;4;Coxim
MS;Pedro Gomes;4;Coxim
MS;Rio Verde de Mato Grosso;4;Coxim
MS;Sonora;4;Coxim
MS;Chapadão do Sul;5;Chapadão do Sul
MS;Costa Rica;5;Chapadão do Sul
MS;Paraíso das Águas;5;Chapadão do Sul
MS;Aparecida do Taboado;6;Paranaíba
MS;Cassilândia;6;Paranaíba
MS;Inocência;6;Paranaíba
MS;Paranaíba;6;Paranaíba
MS;Selvíria;6;Paranaíba
MS;Angélica;7;Sidrolândia
MS;Nova Alvorada do Sul;7;Sidrolândia
MS;Sidrolândia;7;Sidrolândia
MS;Maracaju;8;Maracaju
MS;Ponta Porã;8;Maracaju
MS;Rio Brilhante;8;Maracaju
MS;Caracol;9;Corumbá
MS;Corumbá;9;Corumbá
MS;Ladário;9;Corumbá
MS;Porto Murtinho;9;Corumbá
MS;Amambaí;10;Naviraí
MS;Aral Moreira;10;Naviraí
MS;Caarapó;10;Naviraí
MS;Juti;10;Naviraí
MS;Laguna Carapã;10;Naviraí
MS;Naviraí;10;Naviraí
MS;Anaurilândia;11;Nova Andradina
MS;Batayporã;11;Nova Andradina
MS;Bataguassu;11;Nova Andradina
MS;Nova Andradina;11;Nova Andradina
MS;Taquarussu;11;Nova Andradina
MS;Deodápolis;12;Ivinhema
MS;Fátima do Sul;12;Ivinhema
MS;Glória de Dourados;12;Ivinhema
MS;Ivinhema;12;Ivinhema
MS;Jateí;12;Ivinhema
MS;Novo Horizonte do Sul;12;Ivinhema
MS;Vicentina;12;Ivinhema
MS;Aquidauana;13;Aquidauana
MS;Miranda;13;Aquidauana
MS;Anastácio;14;Jardim
MS;Antônio João;14;Jardim
MS;Bela Vista;14;Jardim
MS;Bodoquena;14;Jardim
MS;Bonito;14;Jardim
MS;Guia Lopes da Laguna;14;Jardim
MS;Jardim;14;Jardim
MS;Nioaque;14;Jardim
MS;Coronel Sapucaia;15;Iguatemi
MS;Eldorado;15;Iguatemi
MS;Iguatemi;15;Iguatemi
MS;Itaquiraí;15;Iguatemi
MS;Japorã;15;Iguatemi
MS;Mundo Novo;15;Iguatemi
MS;Paranhos;15;Iguatemi
MS;Sete Quedas;15;Iguatemi
MS;Tacuru;15;Iguatemi
