uf;municipio;lavoura_aptidao_boa;lavoura_aptidao_regular;lavoura_aptidao_restrita;pastagem_plantada;silvicultura_ou_pastagem_natural;preservacao_fauna_flora;fonte
AC;PORTO ACRE;28741.62;24992.71;21243.80;16054.57;13960.50;11866.42;1
AL;CAMPO ALEGRE;15753.27;14177.94;12760.14;11484.13;10335.71;8268.57;1
AL;CORURIPE;35677.85;33123.32;30458.18;28392.43;25513.23;21478.07;1
AL;TEOTONIO VILELA;15756.60;14184.80;12766.32;11489.68;10340.72;8272.57;1
BA;ALCOBACA;26130.22;23754.75;21595.84;19632.28;19831.84;14625.05;1
BA;BAIANOPOLIS;7580.00;6130.00;4490.00;3570.00;3020.00;2250.00;1
BA;BARRA;3725.77;3342.32;3190.42;3116.36;2359.90;1986.93;1
BA;BARREIRAS;9427.61;6514.90;3896.75;2115.66;2115.66;1462.41;1
BA;BARROCAS;13280.05;10296.38;8570.43;7787.93;6333.79;5383.45;1
BA;BUERAREMA;15000.00;12000.00;10000.00;15000.00;15000.00;10000.00;1
BA;CAMACAN;11607.74;10446.97;9286.20;11607.74;11607.74;9286.20;1
BA;CARAVELAS;12315.90;11876.05;11436.20;10556.48;9676.77;8797.06;1
BA;COCOS;2749.51;1999.34;1449.97;1199.47;899.93;599.74;1
BA;CONCEICAO DO JACUIPE;26086.00;18781.92;16739.39;14608.16;7512.77;7658.85;1
BA;CONDE;12986.46;7903.83;5371.63;7903.83;6500.00;4478.09;1
BA;CORDEIROS;8500.00;6500.00;4000.00;7500.00;6000.00;4500.00;1
BA;CORRENTINA;9382.94;6880.82;6255.29;5004.23;3753.17;2502.12;1
BA;EUNAPOLIS;39325.66;22767.49;20697.71;16558.17;12418.63;8279.09;1
BA;FORMOSA DO RIO PRETO;10944.02;8064.02;6336.01;5184.01;4032.01;3456.01;1
BA;GUANAMBI;12000.00;9000.00;7500.00;7500.00;6500.00;6500.00;1
BA;IBICUI;26678.10;19208.23;17073.98;14939.74;14939.74;7832.28;1
BA;IBIRAPUA;28770.50;20714.76;18413.12;16111.48;8285.87;8446.58;1
BA;ILHEUS;15796.50;12637.20;8424.80;5255.50;2948.68;2632.75;1
BA;IPECAETA;7000.00;6750.00;6500.00;6000.00;5500.00;5000.00;1
BA;ITAGIMIRIM;13362.80;10268.88;9156.84;7656.48;6441.90;3429.73;1
BA;ITAMARAJU;29234.80;25058.40;22970.20;20882.00;18793.80;16705.60;1
BA;ITANHEM;10000.00;10000.00;9000.00;9000.00;9000.00;7500.00;1
BA;JABORANDI;8640.00;5800.00;3370.00;3326.00;2340.00;1800.00;1
BA;JEQUIE;14327.80;12178.63;10473.51;9662.62;8384.98;7546.49;1
BA;LUIS EDUARDO MAGALHAES;12748.26;8876.56;8498.84;8498.84;8022.75;7554.52;1
BA;MANSIDAO;5850.00;5265.00;4738.50;4027.72;;;1
BA;MULUNGU DO MORRO;11968.00;9206.60;6444.59;3682.84;11968.00;6757.26;1
BA;NOVA VICOSA;20000.00;18000.00;16000.00;14000.00;20000.00;12000.00;1
